psc,rod_cislo,meno,priezvisko,cislo_obcianskeho,ulica,id_osoby
96801,725424/2322,Ruzena,Baskova,ER811843,Nova Bana,417
98601,930119/9797,Robert,Martinec,EG376675,Ratka,418
07622,851129/9315,Vladislav,Dutka,HT336755,Vojcice,419
07216,791111/4441,Vendelin,Jirka,NY153058,Zbince,420
96223,875616/6736,Judita,Dudikova,PT510546,Ocova,421
07223,915228/4897,Svetlana,Makovova,SB215125,Stare,422
04481,795303/2202,Zuzana,Konopkova,TM178111,Trebejov,423
04474,981015/5400,Dalibor,Brezina,ZC205863,Vysny Lanec,424
04971,870225/5726,Alojz,Basa,AO727704,Stratena,425
02345,995304/9041,Luboslava,Bobulova,VA670834,Horny Vadicov,426
07631,930910/6277,Ludomil,Cernik,UH238182,Streda nad Bodrogom,427
01356,741216/8004,Viktor,Duska,MU661304,Hvozdnica,428
07632,755501/4060,Zaneta,Borikova,TF282538,Velka Bara,429
04913,840911/9048,Leonard,Madar,RB603465,Novacany,430
02201,825425/4761,Bronislava,Kozacekova,JY451832,Horelica,431
05571,990721/6498,Belo,Dusko,VN738756,Zakarovce,432
04445,986210/6869,Simona,Dorova,CC165263,Vysna Kamenica,433
01004,020502/9069,Konstantin,Mraz,CK706375,Banova,434
04411,900525/8022,Roman,Dancak,JL555101,Trstene pri Hornade,435
90638,000511/2580,Jakub,Malisek,BD517255,Rohoznik,436
07255,761113/1058,Roman,Mihalik,AU144805,Svatus,437
98542,905822/7191,Alena,Marcinekova,YQ118077,Nove Hony,438
04911,750708/3518,Ondrej,Malachovsky,PB856122,Vidova,439
96265,716121/5523,Malvina,Bosnakova,HX426014,Rakovec,440
98557,815625/4544,Magdalena,Makovicova,GI816848,Nitra nad Iplom,441
01341,956115/3473,Ingrida,Macova,DI725742,Hrboltova,442
90023,820117/7468,Slavomir,Capkovic,QB411377,Vinicne,443
04971,015330/9921,Lea,Hankova,UZ704577,Stratena,444
97401,931227/3953,Moric,Michalek,FK412148,Molca,445
97669,745724/9719,Vanda,Koppova,YV685183,Nova Masa,446
90024,730902/4053,Filip,Hanusek,QP442546,Velky Biel,447
07231,850202/5335,Teodor,Bano,DD431784,Trnava pri Laborci,448
97644,935227/3229,Zofia,Madaraszova,VB781647,Myto pod Dumbierom,449
04971,986226/7899,Lea,Fabusova,IN845180,Stratena,450
07631,701025/2592,Ernest,Dancsak,HI133713,Streda nad Bodrogom,451
04445,925511/8101,Barbora,Medvedova,EP477632,Trstany,452
07672,805116/8211,Elena,Motovakova,ZR610085,Vojany,453
90081,850511/6747,Zoltan,Halak,BF385175,Senkvice,454
03482,721122/2655,Hubert,Janoska,YE815378,Kalameny,455
05001,720204/6408,Ervin,Bilek,EG547464,Revuca,456
04961,880407/3482,Juraj,Maca,ZC134238,Nandraz,457
07632,826213/9879,Juliana,Masarikova,JR460168,Velka Bara,458
02345,890117/5229,Arnold,Krajci,LG277678,Horny Vadicov,459
01354,890306/3960,Vavrinec,Drajna,QW503387,Babise,460
03223,740713/9987,Alexander,Fico,TB725607,Izipovce,461
03204,880312/2695,Lubos,Boro,JO444116,Benadikova,462
07501,806115/8573,Eugenia,Kolarova,KU573564,Trebisov,463
05001,920203/5426,Alojz,Jan,DE502476,Revucka,464
03231,770328/9487,Vincent,Martinovic,YF415654,Hybe,465
07234,735526/6055,Lubica,Krejcova,XP274338,Velke Zaluzice,466
07236,000125/9401,Radoslav,Mora,IY514507,Zemplinska Sirava,467
05333,920909/2110,Milos,Molnar,QQ124717,Ticha Voda,468
07661,730308/6692,Jozef,Borik,WD352255,Stankovce,469
07636,775720/3391,Lubica,Kotzianova,ZD116377,Velky Kamenec,470
04402,025723/8188,Livia,Kocurova,OW207115,Vcelare,471
05551,020921/9154,Julius,Feldek,MF636037,Velky Folkmar,472
05201,856208/9188,Ivica,Molnarova,KM416288,Teplicka,473
04413,961030/4885,Valer,Gocnik,PX104054,Vsechsvatych,474
07653,715312/9718,Gizela,Bobulova,DT840775,Zatin,475
07204,736201/3994,Jela,Baskova,UO445250,Trhoviste,476
07301,020905/1358,Urban,Konstantinidis,XI811110,Tibava,477
07223,935202/7583,Melania,Farkasova,QG135485,Zbudza,478
07101,795221/4653,Michaela,Bilkova,PY636871,Vrbovec,479
07615,865226/2978,Jaroslava,Maczova,BR587802,Velaty,480
98021,955610/3528,Bohdana,Bernardova,HI857473,Rakytnik,481
96223,975302/5931,Tamara,Dererova,NC031260,Ocova,482
03491,745519/8268,Estera,Bekova,QP874122,Hubova,483
04445,960828/3422,Vit,Kocura,NB178258,Trstany,484
03221,781202/5946,Alfonz,Minac,HB874028,Jalovec,485
02705,801223/4607,Martin,Fischer,XG074616,Havrania,486
07301,770124/6647,Julia,Frano,BY227541,Tibava,487
02952,005804/1357,Ursula,Capekova,RY864170,Babin,488
96681,945416/8511,Alica,Kozova,RC187854,Revistske Podzamcie,489
05551,910319/5140,Svatopluk,Fabian,BN128337,Velky Folkmar,490
07636,875617/5448,Vilma,Karpatova,GQ644362,Velky Kamenec,491
02201,761004/6479,Vaclav,Grna,BP083386,Horelica,492
98252,750517/9703,Svetozar,Banas,MK314067,Nizna Kalosa,493
07801,835102/8665,Nora,Almasiova,QB216678,Trnavka,494
04912,000830/2702,Richard,Majesky,QO450483,Tiba,495
05351,940616/6624,Henrich,Masarik,XX081165,Stefanska Huta,496
07642,720330/3762,Augustin,Dana,QT122708,Velke Trakany,497
02355,790922/4425,Urban,Gal,RE080620,Jedlovnik,498
04447,995404/4299,Erika,Boskova,OU617021,Vtackovce,499
07615,030808/7189,Zlatko,Jedlovsky,VU572572,Velaty,500
04961,760130/7108,Bruno,Jakuba,LD365087,Nandraz,501
07217,706019/1488,Daniela,Dusova,OW586416,Zemplinske Kopcany,502
05001,895830/2621,Miloslava,Makova,AJ622674,Revuca,503
02963,761119/4186,Eduard,Janoso,LM578005,Benadovo,504
03231,776102/8011,Dana,Ciganova,YE551506,Hybe,505
98021,035908/8688,Zelmira,Borowskiova,XE662006,Rakytnik,506
99105,790901/6381,Leonard,Bor,YQ507770,Obeckov,507
05566,790609/1156,Jan,Gavalier,HF085532,Uhorna,508
03844,800627/7914,Boris,Bilka,EY623306,Jazernica,509
01319,725811/2846,Tamara,Droppova,SD480450,Klace,510
92526,946208/7071,Agata,Bobulova,TG170710,Reca,511
02322,845212/7022,Valentina,Borovova,CJ510608,Hlavice,512
99105,016210/2532,Irena,Bruskova,NM200858,Obeckov,513
04445,880229/2002,Augustin,Hanuska,LV536658,Trstany,514
96701,740721/5972,Severin,Farkas,ZQ581464,Nevolne,515
04912,955902/1067,Zdenka,Kotesova,IG814423,Tiba,516
97401,960829/6301,Lubor,Mojzis,GS158285,Molca,517
02305,010829/1010,Moric,Harvan,NC137176,Harvelka,518
07201,810318/1317,Bonifac,Hascak,YB147038,Samudovce,519
01352,920423/7150,Leonard,Janoska,PU280281,Jablonove,520
07223,761205/5412,Samuel,Dido,WF368466,Zbudza,521
03231,785712/8854,Eugenia,Hanakova,XQ225644,Hybe,522
04411,801107/7054,Oldrich,Kral,ZJ218151,Zdana,523
05376,770427/8126,Lukas,Danyi,JD767575,Sykavka,524
05334,875824/3403,Olympia,Meciarova,YZ517252,Svedlar,525
05333,811107/5588,Sergej,Mora,AP060355,Zavadka,526
03845,935111/3307,Gizela,Madarova,BB541818,Kevice,527
90873,965830/7656,Stanislava,Hanakova,YY524004,Velke Levare,528
07214,015730/2040,Perla,Borekova,OG500185,Vysocky Dvor,529
07801,835920/4020,Natalia,Mihalikova,UH548656,Velke Ozorovce,530
02957,870917/9626,Vratislav,Jurco,DL210833,Jasenovska,531
02304,840714/5121,Jaromir,Capko,OR802048,Klubina,532
90024,985824/1396,Karina,Marianova,BH313663,Velky Biel,533
04445,860305/3233,Klement,Majesky,NV045045,Trstany,534
97401,030603/3601,Belo,Bor,QD172553,Nemce,535
05201,961102/3886,Medard,Madar,HW541114,Teplicka,536
99105,010501/9330,Blahoslav,Dutka,LB286781,Obeckov,537
07217,725504/7030,Jela,Jakubecova,DT084672,Zemplinske Kopcany,538
02941,005120/6080,Adriana,Duskova,PH862647,Klin,539
96603,835308/4616,Michaela,Kiselova,HO428584,Repiste,540
01319,820529/6237,Michal,Marcinek,TZ038004,Klace,541
07616,860426/2196,Dionyz,Molnar,UM356387,Upor,542
03491,720729/7768,Oleg,Dudka,UU074066,Hubova,543
07242,710809/2321,Levoslav,Friedman,CX507161,Ubrez,544
03401,745624/1258,Vilma,Cervenova,LV277554,Klacno,545
07636,835409/9467,Vlasta,Kopova,OY466008,Velky Kamenec,546
90301,790829/1053,Fridrich,Dusko,UD768387,Turen,547
05361,940508/9162,Boleslav,Kendra,PP823243,Zehra,548
02957,915222/3216,Bohdana,Hanuskova,EJ540834,Jasenovska,549
98045,970110/2265,Raduz,Hanuska,DX147204,Riecka,550
02744,715208/7662,Irma,Kocurikova,YM422232,Horny Stefanov,551
03483,976230/8810,Alexandra,Havranova,TG778848,Besenova,552
02753,730528/7698,Daniel,Machnac,TG086262,Istebne,553
07213,995421/2543,Branislava,Buznova,LQ364753,Zemplinska Siroka,554
04445,846209/4994,Stanislava,Klausova,XZ118551,Zirovce,555
02753,795608/5582,Lenka,Kotlebova,NR070481,Istebne,556
05001,800825/1767,Patrik,Bicek,YV287836,Revuca,557
05361,035606/1896,Dana,Danekova,VW663545,Vojkovce,558
01356,930502/5207,Levoslav,Gyurovics,VO357413,Hvozdnica,559
07672,775831/2506,Vanda,Karulova,OG276845,Vojany,560
01354,875911/6189,Etela,Kotianova,EN483535,Babise,561
04402,715515/7490,Zlatica,Malinova,KA236860,Zadiel,562
07601,815502/8899,Simona,Habsudova,IW644378,Zemplinske Hradiste,563
07683,720917/9956,Ctibor,Kral,TN788334,Svatuse,564
07202,970219/2257,Dalibor,Babka,KP318866,Tusice,565
07217,875131/9588,Malvina,Kobielskova,CY438715,Zemplinske Kopcany,566
04901,990123/9056,Rene,David,JV500810,Muranska Huta,567
04443,930313/8188,Ales,Dancsak,GO660101,Vajkovce,568
05361,785331/8900,Simona,Bernardiova,NR467423,Zehra,569
05363,975518/9182,Ivica,Barbarova,FX153867,Trstany,570
02345,885728/1358,Natasa,Frankova,XZ806580,Horny Vadicov,571
98265,971201/3489,Ludovit,Duska,LJ686045,Repistia,572
98045,735927/1687,Jana,Hanuskova,EI670138,Riecka,573
01354,880324/8614,Bohdan,Maurery,KO671412,Babise,574
99105,826213/9879,Zdenka,Durkovicova,EJ101188,Obeckov,575
02705,845307/3889,Margareta,Martanovicova,ZK686466,Havrania,576
98045,770811/6851,Jozef,Dudka,EM277447,Neporadza,577
01354,906210/7955,Miriama,Kocianova,BD455872,Babise,578
98557,805711/1217,Dasa,Kozakova,WQ155707,Nitra nad Iplom,579
01401,740330/8766,Bohumir,Jano,RK412672,Hrabove,580
04445,010129/7418,Lubomir,Hecko,BT750576,Svinica,581
07501,020822/5473,Dezider,Melicherik,TY517320,Velky Ruskov,582
02204,935530/5185,Vieroslava,Durdikova,YZ301578,Husarik,583
98557,976003/1936,Alexandra,Kocurova,KP600577,Nitra nad Iplom,584
04901,830507/9282,Cyprian,Jancek,XJ153577,Muranska Huta,585
04421,021007/2768,Jozef,Kobielsky,PX576277,Semsa,586
02305,805322/1633,Rozalia,Banova,QX242684,Harvelka,587
04416,980201/9744,Oskar,Martinovic,ZC543027,Vysny Caj,588
90064,800226/8567,Kamil,Debnar,IA617103,Suchohrad,589
04447,775909/1908,Terezia,Kollarova,RG052108,Vtackovce,590
96001,925421/6834,Dagmara,Marcinekova,GH240510,Motova,591
04018,896226/5656,Bronislava,Meltzerova,CB375624,Vysna Hutka,592
04474,805605/1323,Dobroslava,Carnogurskova,CK478476,Vysny Lanec,593
97697,831222/2652,Ales,Martin,QN724380,Nemecka,594
90301,880930/8676,Ervin,Borek,DQ248288,Senec,595
03483,020929/5213,Bohumil,Danko,WL748307,Besenova,596
02345,755924/4676,Ingrida,Karpatova,XG428264,Horny Vadicov,597
90044,975522/2995,Dobroslava,Janosova,ES400765,Tomasov,598
07601,810919/6055,Viliam,Basek,FR058443,Zemplinske Hradiste,599
07602,781222/8176,Roman,Janik,YC804446,Zemplinsky Branc,600
07204,885724/8058,Ruzena,Forgacova,UC806786,Trhoviste,601
97901,710725/7357,Lubor,Gyurkovics,XY225565,Nizna Pokoradz,602
07213,931019/5538,Izidor,Bahna,DP186856,Stretava,603
07213,925524/6796,Sabina,Janoskova,HO540720,Zemplinska Siroka,604
97901,950817/6748,Drahoslav,Dusa,BS403867,Nizna Pokoradz,605
04416,885122/7308,Dagmara,Balazsova,IP065768,Vysny Caj,606
07242,800913/4710,Bohumir,Brezina,UQ785014,Ubrez,607
01341,850407/7643,Milan,Mistrik,EE066261,Hrboltova,608
04416,926103/9734,Miroslava,Janosova,YH888085,Vysny Caj,609
03483,765903/6701,Tatiana,Kiselova,KM758755,Ivachnova,610
98545,870421/5971,Kazimir,Moric,GZ888628,Novy Svet,611
02952,736019/6237,Maria,Medveckova,MW131633,Babin,612
99126,846225/9602,Blanka,Klimova,LI177234,Nenince,613
07653,956203/4609,Vilma,Filipekova,AU366207,Zatin,614
90873,785722/7746,Viera,Moravecova,QD010731,Velke Levare,615
04018,955618/3279,Milena,Fabianova,RX851448,Vysna Hutka,616
98531,895216/2796,Hilda,Mackova,SE074664,Mucin,617
02713,780610/8356,Bohdan,Kocurik,XV603733,Hladovka,618
90064,810726/9967,Bohdan,David,VA707463,Suchohrad,619
02941,775730/9728,Linda,Dvoncova,KT565441,Klin,620
05376,970409/8576,Matus,Beno,DG154026,Sykavka,621
97697,720303/4102,Gustav,Durica,VB167746,Raztoka,622
07234,785514/7576,Dobroslava,Mrazkova,WJ374360,Zaluzice,623
02741,746126/5382,Brigita,Muchova,QF541843,Horna Lehota,624
03491,760908/9871,Rastislav,Mackovic,GQ776355,Hubova,625
04455,851115/6728,Sergej,Mrazko,ZA513065,Velka Ida,626
07602,980906/8301,Augustin,Janosek,LH845644,Zemplinsky Branc,627
04474,880104/4521,Jan,Boruvka,DI177082,Vysny Lanec,628
02732,910411/5968,Viktor,Motyka,WF455680,Huty,629
04425,880209/3545,Ivan,Galik,RT375221,Vysny Medzev,630
04402,980517/8098,Jaromir,Grigel,HS788653,Zarnov,631
99105,790614/2348,Metod,Bahna,NN528060,Nova Ves,632
04413,720912/2669,Mikulas,Kandrac,OO402820,Vsechsvatych,633
03221,715412/6250,Galina,Mihalova,GN738601,Jalovec,634
96265,715803/2133,Zuzana,Bruskova,YP532465,Rakovec,635
98542,860624/1575,Vincent,Dana,KQ643753,Nove Hony,636
96801,885911/1461,Branislava,Kotulicova,HE136030,Nova Bana,637
07605,790616/7793,Stefan,Dani,ZW045580,Zemplinske Jastrabie,638
98252,745802/5391,Margita,Markova,KB770115,Nizna Kalosa,639
07101,915816/2903,Ida,Banova,YJ710310,Vrbovec,640
04425,820705/2522,Oleg,Krasnohorsky,EC564806,Vysny Medzev,641
04402,975721/2119,Elvira,Kandracova,AF122781,Zarnov,642
03822,735813/2465,Zina,Harvanekova,IF230114,Kalamenova,643
90301,985225/2056,Katarina,Janosova,KJ638074,Senec,644
97401,810509/4827,Vladimir,Kralovic,WJ000827,Nemce,645
02732,815724/7811,Emilia,Cajkovicova,FK701487,Huty,646
90024,035811/9231,Marta,Kaliskova,TZ706166,Velky Biel,647
02601,720513/4218,Tomas,Kopa,AJ200173,Jasenova,648
02322,911025/8756,Vladislav,Dobsinsky,UG187584,Klokocov,649
04402,765303/4961,Marta,Maczkova,ZP260575,Zadiel,650
07682,790118/3771,Igor,Cibula,SJ533401,Velka Trna,651
98513,830303/7884,Edmund,Bilko,SB671643,Nedeliste,652
05001,711029/5332,Ignac,Hala,QW083611,Revuca,653
96801,845613/5869,Petronela,Balazsova,BL285661,Nova Bana,654
96223,726205/5395,Otilia,Jurekova,QP785301,Ocova,655
02705,845912/1518,Ursula,Junasova,AL531015,Havrania,656
07661,815125/2839,Slava,Janosekova,WU887645,Stankovce,657
05001,895520/4326,Dorota,Bilkova,LC644436,Revuca,658
07213,931105/8123,Vratko,Junas,CR330186,Zemplinska Siroka,659
07255,766109/4128,Vanda,Gavornikova,GY120707,Svatus,660
07214,755503/4474,Dominika,Hanakova,KP841673,Tahyna,661
02952,815730/1937,Jozefina,Balazova,OR761844,Babin,662
03482,030512/1190,Ervin,Mrazko,CC863651,Kalameny,663
07622,745416/8306,Branislava,Boricova,XA468781,Vojcice,664
01401,920906/8597,Vlastimil,Minac,KN832757,Hrabove,665
04445,795221/4653,Daniela,Mrazkova,LO256783,Vysna Kamenica,666
07234,820409/6258,Koloman,Korcak,ZD854433,Zaluzice,667
01305,881203/2216,Milan,Debnar,LD582145,Bela,668
02952,035629/9370,Monika,Mackova,MR037272,Hrustin,669
04431,900727/4267,Zdenko,Boris,DS101116,Teplicany,670
04416,990117/1484,Andrej,Machnac,UF286808,Vysny Caj,671
07223,011110/2835,Zdenko,Fischer,SW031841,Stare,672
07223,870228/3653,Zoltan,Koubek,XG451360,Zbudza,673
07653,775517/3389,Bozena,Janosova,TN164172,Zatin,674
07677,801012/7644,Vojtech,Juroska,JB568271,Velke Slemence,675
05334,880615/8305,Filip,Makovica,XX876602,Svedlar,676
05361,766204/7930,Brigita,Krehelova,IM615201,Spisske Vlachy,677
04447,945406/8530,Silvia,Faithova,EZ725012,Vtackovce,678
05334,715402/5054,Sabina,Abrahamova,TZ552003,Stara Voda,679
03101,945609/3883,Svetlana,Frankova,GS520740,Andice,680
07253,851115/1614,Radovan,Moravcik,ES525273,Zahor,681
02753,740704/1957,Koloman,Koppa,DZ783471,Istebne,682
04411,940903/7327,Samuel,Masarik,II551358,Trstene pri Hornade,683
90873,771221/4810,Rastislav,Klepac,WE234025,Velke Levare,684
90023,965904/4412,Eugenia,Mackovicova,DR776045,Vinicne,685
01342,995622/1055,Dobromila,Kockova,FC312245,Horny Hricov,686
07682,760703/4150,Tadeas,Bano,PQ401607,Velka Trna,687
04445,890708/6548,Erik,Dusko,EF888077,Svinica,688
07204,856210/5728,Svetlana,Bernhardtova,ON137284,Trhoviste,689
97697,861102/5208,Imrich,Makovy,LZ127482,Raztoka,690
07664,710730/7955,Vratislav,Jalovec,DY478214,Zemplinska Teplica,691
07616,740423/5107,Augustin,Boris,CB236568,Zemplinska Nova Ves,692
05001,791030/6322,Ervin,Hanousek,OI734641,Revuca,693
07635,855317/4976,Petra,Karova,HZ581838,Vec,694
04901,751117/5051,Vendelin,Krajco,TN871221,Muranska Huta,695
07801,995917/3318,Izabela,Jurcinova,BG575206,Zbehnov,696
90638,865610/7994,Alexandra,Jonatova,SD641771,Rohoznik,697
07216,971201/3489,Svatopluk,Danyi,AO823711,Zbince,698
02713,716124/6402,Blazena,Milerova,QJ165023,Hladovka,699
01004,986226/7202,Stefania,Fridmanova,KL141543,Bitarova,700
07801,750616/2368,Mikulas,Blaha,ES646303,Trnavka,701
07652,845807/5115,Bibiana,Figuliova,LK147610,Strazne,702
04018,800519/4764,Emanuel,Dano,LT561530,Vysna Hutka,703
04961,035704/4433,Nadezda,Jakubkova,CZ784774,Rakosska Bana,704
07801,840714/5121,Alexej,David,HF130482,Zbehnov,705
05361,815319/3509,Bohumila,Koubekova,OL074833,Vojkovce,706
07216,875110/1721,Dominika,Daniova,DC828774,Vrbnica,707
05334,756108/4715,Anezka,Maczkova,NC035204,Stara Voda,708
04411,830106/5280,Ferdinand,Markovic,JZ385710,Zdana,709
07622,755409/6559,Jela,Bobulova,EA242084,Vojcice,710
02352,761109/3089,Zigmund,Cerveny,IN047340,Hruby Buk,711
97901,851203/6793,Cyprian,Koci,LG502654,Nizna Pokoradz,712
97697,920207/2191,Alfred,Markus,VE828537,Raztoka,713
07631,785618/1658,Adriana,Danova,SS004012,Streda nad Bodrogom,714
99105,020221/8700,Alexander,Dusek,MQ525230,Nova Ves,715
07631,025723/8188,Marta,Kokova,WD035807,Vinicky,716
98545,036013/6680,Agnesa,Feldekova,IY581244,Novy Svet,717
90875,996014/5802,Agata,Heretikova,UG575331,Studienka,718
02952,985625/6644,Lydia,Borekova,QZ233747,Babin,719
98513,871113/2073,Ferdinand,Martinak,PD407760,Nedeliste,720
92526,015128/1771,Dorota,Machnacova,KE653033,Reca,721
92526,810118/5027,Valer,Baska,NR562640,Reca,722
04481,730429/7336,Bernard,Beihofner,BB575024,Velka Lodina,723
07602,875110/1721,Valeria,Franekova,RB846040,Zemplinsky Branc,724
07213,766007/9299,Zlatica,Janoskova,FL763773,Zemplinska Siroka,725
05333,005630/4735,Milota,Bahnova,CD231384,Zahajnica,726
04447,985129/1801,Elvira,Benova,BA317385,Vtackovce,727
07214,846117/7849,Alzbeta,Dutkova,NZ303345,Tahyna,728
98262,980218/5722,Jakub,Martin,UZ415454,Rasice,729
07636,745604/7895,Ludmila,Menhartova,JY372503,Velky Kamenec,730
07631,940323/3522,Marian,Ftorek,NC120678,Vinicky,731
07675,740602/5668,Oldrich,Jakabovic,ZL681107,Velke Raskovce,732
97901,710502/4419,Eduard,Makovica,QA448126,Nizna Pokoradz,733
97401,885317/7212,Dagmara,Martanova,OR867673,Riecka,734
97401,925310/1921,Kristina,Danova,GK015555,Nemce,735
90638,926224/1412,Dominika,Maczova,BL210103,Rohoznik,736
07661,905821/3547,Kristina,Bezakova,FI044448,Visnov,737
03846,950325/8471,Vitazoslav,Banas,YR425623,Horna Stubna,738
07635,035807/7518,Ela,Ciganova,FK272043,Svata Maria,739
05334,890220/2588,Juraj,Bek,MO635240,Stara Voda,740
01354,855118/8350,Sara,Menhartova,PR823857,Babise,741
07255,765129/2813,Hilda,Kiselova,MY716551,Svatus,742
98531,751218/7978,Zoltan,Kosztka,NA108810,Rapovce,743
07636,855215/3636,Emilia,Biringerova,VB256142,Velky Kamenec,744
90877,756120/7619,Marcela,Krajicekova,RD487401,Borsky Mikulas,745
07202,915419/9854,Stela,Jurikova,RJ842801,Tusice,746
07101,985524/2758,Rebeka,Marecekova,DC718235,Vrbovec,747
07683,775329/6871,Marina,Magalova,DP805228,Vojka,748
98545,015816/6971,Vanesa,Dudova,RU565680,Novy Svet,749
07101,855325/6759,Margareta,Banova,LV054675,Suche,750
07653,970716/6874,Julia,Fasiang,SH737788,Zatin,751
04441,930414/5747,Martin,Mojzis,GR158762,Zdoba,752
90021,935319/1888,Dominika,Machatova,ZS434028,Svaty Jur,753
07255,851002/1169,Tibor,David,YJ082258,Svatus,754
07201,930517/2494,Dezider,Dusek,QI385062,Samudovce,755
07236,936222/5816,Olga,Dovadova,UQ516316,Zemplinska Sirava,756
03101,790628/6024,Vit,Beko,JS204543,Benice,757
02753,735125/6103,Galina,Dorotova,BP044084,Istebne,758
05566,790302/9833,Zdenko,Kazik,HF157388,Uhorna,759
03403,730308/6692,Juraj,Borik,YN481156,Biely Potok,760
05363,936101/3037,Zina,Heckova,TC620388,Spissky Hrusov,761
04961,980329/5568,Cyril,Filipek,VQ526716,Rakosska Bana,762
04445,745217/4572,Ivana,Kocianova,OG724551,Zirovce,763
98513,721031/8263,Servac,Hanak,PC362342,Nedeliste,764
02322,815308/1430,Petra,Gregorova,JG657802,Klokocov,765
96681,035924/9912,Otilia,Baskova,IF103388,Revistske Podzamcie,766
01356,810426/5106,Vit,Koval,AG267071,Hvozdnica,767
02601,770303/6846,Jergus,Mako,PB741803,Benova Lehota,768
96701,976230/5714,Sabina,Maslova,PS340765,Nevolne,769
07253,020426/8895,Arpad,Cajkovic,CN500083,Zahor,770
03842,896230/5641,Vanesa,Adamcova,VI273141,Benice,771
05001,765303/4961,Lenka,Danciakova,TR516103,Revucka,772
98553,740729/7152,Valer,Klokoc,UJ317342,Mytna,773
97405,905221/4768,Valeria,Kotzianova,CZ845600,Rakytovce,774
02713,771207/9272,Anton,Kostka,PM753077,Hladovka,775
07632,945213/5852,Klaudia,Figuliova,VA845417,Velka Bara,776
90301,751102/4200,Vratislav,Dano,PM538068,Turen,777
03223,980310/8528,Alan,Madaras,NN277368,Hlinik,778
05333,916208/9900,Bohumila,Danova,JJ777283,Ticha Voda,779
01356,791201/2461,Vincent,Mokros,EK557140,Hvozdnica,780
97401,910723/8185,Ivan,Kroner,NN630371,Nemce,781
07677,845731/5434,Bohumila,Machova,EE300587,Velke Slemence,782
07661,715926/6062,Ruzena,Bobulova,MW361107,Visnov,783
98265,906013/3895,Natasa,Kocourekova,UX448155,Ratkova,784
98045,725416/7345,Hortenzia,Janosikova,MO457615,Riecka,785
01401,000821/2540,Izidor,Fabian,FV427544,Benov,786
04447,710316/3174,Jergus,Madara,LZ882200,Vtackovce,787
98553,900729/7669,Ferdinand,Finka,HQ504820,Mytna,788
07221,810405/4650,Silvester,Konrad,HP813314,Vola,789
96681,960327/8153,Aurel,Dej,GM622574,Revistske Podzamcie,790
07261,985409/1379,Hortenzia,Markoviczova,UL448372,Vojnatina,791
03802,965405/2789,Helena,Kotianova,PE353488,Horne Jaseno,792
90031,800819/9315,Marek,Janecek,HM431547,Stupava,793
90026,850205/4540,Alan,Krasnohorsky,DU425003,Slovensky Grob,794
99126,795519/3691,Erika,Kocurova,AW466326,Nenince,795
07652,895220/8064,Eliska,Janekova,OK813852,Velky Hores,796
01342,880902/4110,Cyril,Klopacka,AK137124,Horny Hricov,797
03223,930316/4520,Emanuel,Caplovic,IS675711,Hlinik,798
07616,990823/2958,Lukas,Klaus,AT624024,Upor,799
04901,021111/1989,Peter,Marton,YU867014,Muranska Huta,800
07601,005221/8780,Filomena,Kotzianova,YW555281,Zemplinske Hradiste,801
03802,981225/3572,Kristof,Dvorsky,FN741213,Horny Kalnik,802
03483,870415/2141,Ondrej,Durka,MZ585432,Besenova,803
07213,750420/8601,Viktor,Farkas,VJ526453,Zemplinska Siroka,804
02705,035105/3295,Milena,Menhartova,AR827857,Havrania,805
98034,890831/7874,Jakub,Bek,EG475081,Nova Basta,806
99126,865119/4037,Alena,Bernardova,QJ586160,Nenince,807
07631,965513/6135,Linda,Budinova,BS367483,Vinicky,808
05334,771212/6882,Sergej,Janocko,PX636228,Stara Voda,809
03221,986029/9100,Gizela,Mokrosova,EO185116,Jalovec,810
07664,835627/8934,Jozefina,Mikusova,UK162461,Zemplinska Teplica,811
03221,850727/5910,Felix,Kazik,OM723385,Jalovec,812
04912,900410/4087,Koloman,Danko,BF708437,Tiba,813
98542,890220/4793,Koloman,Maczo,ZF028626,Nove Hony,814
03403,740510/2608,Ernest,Capko,BY244842,Biely Potok,815
90021,740817/8315,Silvester,Hanke,RL725857,Svaty Jur,816
03223,761117/5952,Valentin,Koszta,WE610451,Izipovce,817
97401,910202/5914,Moric,Bartovic,MO560607,Molca,818
90024,760805/7119,Juraj,Mak,UX583526,Velky Biel,819
04421,770523/8689,Bruno,Maslo,ED733680,Semsa,820
90024,721122/2655,Bystrik,Hanzel,SW737442,Velky Biel,821
07632,026009/1546,Zlatica,Krejcova,GI524353,Velka Bara,822
90086,890306/4428,Lukas,Deak,UJ205025,Stefanova,823
96603,710715/2253,Oto,Mrazek,BN338735,Repiste,824
03483,025328/6288,Vilma,Kellerova,IH422782,Ivachnova,825
07675,830817/1041,Alfred,Markus,OM247215,Velke Raskovce,826
04932,835611/9533,Dominika,Mihalikova,XN368686,Stitnik,827
07213,030516/7985,Marek,Jakubko,VV706385,Stretava,828
98601,885218/5099,Viola,Kavickova,KS323815,Ratka,829
07631,015429/8861,Agnesa,Janousekova,SP441740,Streda nad Bodrogom,830
98557,875705/1605,Anabela,Bekova,RW380533,Nitra nad Iplom,831
02322,750116/1660,Medard,Makovec,DB803674,Hlavice,832
07622,880930/8676,Stanislav,Cerveny,XN266303,Vojcice,833
07101,945614/1257,Martina,Fogasova,II843438,Vrbovec,834
